numero,idioma,descrição,fonte
1,fr,Comment assurer la présence d'une langue dans le cyberespace?,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=65680
2,pt-br,Bases da ortografia portuguesa,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=88538
3,pt-br,o cortiço(02/03/2026),https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=2018
4,en,20.000 Leagues Under the Sea,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=10985
5,pt-br,python para desenvolvedores,https://www.dominiopublico.gov.br/download/texto/ea000474.pdf
6,pt-br,Modelagem orientada a agentes aplicada a ambientes....,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=24538
7,fr,20 000 lieues sous les mers,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=43784
8,pt-br,Persistência de objetos via mapeamento objeto-relacional,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86596
9,pt-br,Curso de Linux, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=16743
10,en,Linear Algebra Done Right,https://www.springernature.com/gp/researchers/campaigns/books/mathematics-statistics
11,pt-br,Memórias Póstumas de Brás Cubas, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=2038
12,pt-br,O triste fim de Policarpo Quaresma,https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=2028
13,en,Pride and Prejudice, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=15529
14,en,Dracula, https://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=11397
15,pt-br,Discurso indígena: aculturação e polifonia,https://dominiopublico.mec.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=151539
16,pt-br,Dicionário escolar: latino-português,https://dominiopublico.mec.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=24675
